Report Number,Street Prefix,Street Name,Street Suffix,Intersecting Block Number,Intersecting Street Prefix,Intersecting Street Name,Intersecting Street Suffix,Street Description,At An Intersection,Intersecting Street Description,Crash Date/Time,Fatality,Hit And Run,Location
18-92045,,MILLER,AVE,4200,,ALGERITA,ST,,FALSE,,10/13/2018 21:53,FALSE,FALSE,"(32.68403, -97.26318)"
18-95336,N,NORTH FRWY,FWY,2500,,MEACHAM,BLVD,SERVICE ROAD,FALSE,,10/25/2018 6:50,FALSE,FALSE,"(32.8247, -97.31338)"
18-90227,,BASSWOOD,BLVD,7301,N,RIVERSIDE,DR,,TRUE,,10/7/2018 19:36,FALSE,FALSE,"(32.8728, -97.30195)"
180094965,,SOUTH FWY SR SB,,100,,ALTAMESA,RD,,FALSE,,10/23/2018 21:00,FALSE,TRUE,"(32.64437, -97.32139)"
18-94028,,BRIDGE,ST,1200,,OAKLAND,BLVD,,FALSE,,10/20/2018 20:20,FALSE,TRUE,"(32.75888, -97.25874)"
18-94055,SW,LOOP 820 EB SR,FWY,4600,S,HULEN,ST,,FALSE,,10/20/2018 22:01,FALSE,TRUE,"(32.68004, -97.39242)"
18-94062,S,FREEWAY,,700,E,HADDIE,ST,,FALSE,,10/20/2018 22:01,FALSE,TRUE,"(0, 0)"
18-94082,E,BELKNAP,ST,1276,N,BEACH,ST,,FALSE,,10/21/2018 0:00,FALSE,TRUE,"(32.77132, -97.30549)"
180094144,,GRANBURY,RD,6000,S,HULEN,ST,,TRUE,,10/21/2018 7:24,FALSE,FALSE,"(32.66164, -97.39703)"
18-92289,W,LONG,AVE,3300,,CLINTON,AVE,,FALSE,,10/14/2018 21:14,FALSE,TRUE,"(32.80507, -97.34893)"
18-94143,,EAST LOOP 820 SOUTH,FWY,0,,SUN VALLEY EAST LOOP 820 SOUTH SB,RAMP,,FALSE,,10/21/2018 6:50,FALSE,FALSE,"(0, 0)"
18-94125,,CAMPUS,DR,2500,,CAMPUS,CT,PAVED,TRUE,PAVED,10/22/2018 3:18,FALSE,FALSE,"(32.66339, -97.29548)"
180093767,,MC CART,AVE,2577,,SOUTHWEST LOOP 820,FWY,,TRUE,,10/20/2018 20:48,FALSE,TRUE,"(32.6681, -97.356)"
18-94105,W,LANCASTER,AVE,1100,,CURRIE,ST,PAVED ROAD,TRUE,PAVED ROAD,10/21/2018 2:22,FALSE,TRUE,"(32.74737, -97.35863)"
18-95563,N,BRYANT IRVIN,RD,5900,W,VICKERY,BLVD,,TRUE,,10/25/2018 16:50,FALSE,FALSE,"(32.67611, -97.41728)"
18-93506,,,,3500,,REED,ST,,FALSE,,10/18/2018 21:50,FALSE,FALSE,"(32.71057, -97.27431)"
18-95211,,BUCKINGHAM,RD,14700,,TRINITY,BLVD,,FALSE,,10/24/2018 18:34,FALSE,FALSE,"(0, 0)"
18-95207,,COMMERCE,ST,200,E,3RD,ST,,TRUE,,10/24/2018 17:55,FALSE,FALSE,"(32.75522, -97.33062)"
18-95232,,HWY 183,HWY,4500,,AMON CARTE BLVD,BLVD,,FALSE,,10/24/2018 17:50,FALSE,TRUE,"(0, 0)"
18-94409,,NORTH FWY SR NB,,100,,ALLIANCE GATEWAY,FWY,,FALSE,,10/22/2018 9:14,FALSE,FALSE,"(32.96215, -97.31035)"
18-94392,,ESTRELLA,ST,3700,,SANTOS,DR,,FALSE,,10/22/2018 7:40,FALSE,FALSE,"(32.8132, -97.39866)"
18-94485,E,2ND,ST,200,,MAIN,ST,,TRUE,,10/22/2018 13:41,FALSE,FALSE,"(0, 0)"
18-94529,,IH 35W SB NE LOOP 820 EB,RAMP,2500,,NORTHEAST LOOP 820,FWY,,FALSE,,10/22/2018 14:33,FALSE,TRUE,"(32.84367, -97.31292)"
18-94908,,TRINITY,BLVD,3800,,EULESS SOUTH MAIN,ST,LOCAL ROAD,TRUE,LOCAL ROAD,10/23/2018 19:45,FALSE,FALSE,"(32.81959, -97.08234)"
180095569,,BENBROOK,HWY,7600,,PENSACOLA,AVE,,FALSE,,10/25/2018 19:20,FALSE,FALSE,"(32.70921, -97.44767)"
180094382,,SYCAMORE SCHOOL,RD,7500,,HAWKWOOD,TRL,,TRUE,,10/22/2018 7:17,FALSE,FALSE,"(32.63499, -97.35822)"
18-94438,,NORTH FREEWAY,,1000,E,FREEWAY,,,TRUE,,10/22/2018 11:02,FALSE,FALSE,"(0, 0)"
18-93605,,HERITAGE TRACE,PKWY,9600,,HILLWOOD,PKWY,,FALSE,,10/19/2018 11:39,FALSE,FALSE,"(32.91399, -97.30889)"
18-94481,S,HULEN,ST,4800,,OVERTON RIDGE,BLVD,,FALSE,,10/22/2018 13:21,FALSE,FALSE,"(32.67329, -97.39928)"
180094355,,LEE,AVE,500,NW,26TH,ST,,FALSE,,10/22/2018 1:31,FALSE,FALSE,"(32.79083, -97.35531)"
18-94372,NE,LOOP,,5200,N,,FWY,,TRUE,,10/22/2018 5:15,FALSE,TRUE,"(0, 0)"
18-94414,E,LONG,AVE,3220,N,MAIN,ST,,TRUE,,10/22/2018 9:45,FALSE,FALSE,"(32.80476, -97.35094)"
18-94561,,BALDWIN,ST,1200,W,RIPY,ST,,FALSE,,10/22/2018 16:55,FALSE,TRUE,"(32.69778, -97.33854)"
18-95722,,IH 30,,2701,,HORNE,ST,,FALSE,,10/26/2018 11:00,FALSE,FALSE,"(32.84962, -97.3159)"
18-95673,,GREEN OAKS,RD,780,,SHARBER,WAY,,FALSE,,10/26/2018 8:31,FALSE,FALSE,"(32.74686, -97.43281)"
18-95570,W,LONG,AVE,3300,N,HOUSTSON,ST,PAVED CONCRETE,TRUE,PAVED CONCRETE,10/25/2018 19:53,FALSE,TRUE,"(32.80461, -97.35385)"
180094474,,SOUTHWEST LOOP 820,LOOP,5100,,WESTCREEK,DR,,FALSE,,10/22/2018 12:27,FALSE,FALSE,"(0, 0)"
18-94530,,BENBROOK HWY,,5100,,WEATHERFORD TRAFFIC,CIR,,TRUE,,10/22/2018 15:31,FALSE,FALSE,"(32.71538, -97.44483)"
18-93728,S,HULEN,ST,4800,,OVERTON,PLZ,,TRUE,,10/19/2018 17:32,FALSE,TRUE,"(32.7202, -97.38669)"
180094511,,MILLER,AVE,4200,E,ROSEDALE,ST,,TRUE,,10/22/2018 14:50,FALSE,FALSE,"(32.73073, -97.26199)"
18-94343,,CAMP BOWIE WEST,BLVD,3300,,BROADMOOR,DR,,FALSE,,10/22/2018 0:12,FALSE,TRUE,"(32.72367, -97.45626)"
180094892,,LOST CREEK,BLVD,11600,,WIND CREEK,CT,,FALSE,,10/23/2018 18:55,FALSE,FALSE,"(32.71284, -97.52618)"
18-95706,,NOKONI,LN,4900,,TRAILHEAD BEND,WAY,,TRUE,,10/26/2018 9:05,FALSE,FALSE,"(0, 0)"
18-95728,SW,SOUTHWEST LOOP 820,LOOP,4500,,CHISHOLM TRAIL,TRL,,TRUE,,10/26/2018 11:20,FALSE,FALSE,"(0, 0)"
18-93614,S,CRAVENS,RD,6000,,TALLIE,RD,,FALSE,,10/19/2018 11:30,FALSE,FALSE,"(32.74389, -97.22555)"
18-93569,N,FREEWAY,,3000,,BASSWOOD,BLVD,,FALSE,,10/19/2018 10:00,FALSE,FALSE,"(0, 0)"
18-88960,,SOUTH,FWY,700,E,BERRY,ST,SERVICE ROAD,FALSE,LOCAL ROAD,10/3/2018 14:42,FALSE,FALSE,"(32.70902, -97.32074)"
18-95214,,TRINITY,BLVD,3300,,RAIDER,DR,,TRUE,,10/24/2018 17:59,FALSE,TRUE,"(32.80791, -97.13534)"
180094359,,CHERRY,LN,7912,,CALMONT,AVE,LOCAL ROAD,FALSE,LOCAL ROAD,10/22/2018 2:24,FALSE,FALSE,"(32.73585, -97.45123)"
18-89873,E,ROSEDALE,ST,1300,S,AYERS,AVE,,TRUE,,10/6/2018 14:24,FALSE,FALSE,"(32.73071, -97.27244)"
18-93646,NW,820,LOOP,8400,,HERON,DR,,FALSE,,10/19/2018 14:05,FALSE,FALSE,"(32.79187, -97.45624)"
180095278,,STANDISH,RD,3400,W,SEMINARY,DR,,FALSE,,10/23/2018 23:45,FALSE,TRUE,"(32.68384, -97.3666)"
18-94583,E,PENNSYLVANIA,AVE,600,,NORTH SOUTH FWY SR SB,,,TRUE,,10/22/2018 18:10,FALSE,FALSE,"(32.73843, -97.33139)"
18-94448,,NORTH FWY SR SB,,2800,,CANARD CREEK,DR,,TRUE,,10/22/2018 9:30,FALSE,FALSE,"(32.90214, -97.31731)"
18-94576,W,7TH,ST,800,,FOURNIER,ST,,TRUE,,10/22/2018 17:53,FALSE,FALSE,"(32.75099, -97.34495)"
18-93607,N,FREEWAY,,3000,,WESTERN CENTER,BLVD,,FALSE,,10/19/2018 11:40,FALSE,FALSE,"(0, 0)"
180095526,,EAST,FWY,1360,,OAKLAND,BLVD,,FALSE,,10/25/2018 16:58,FALSE,FALSE,"(32.75832, -97.2598)"
18-93630,,BRIDGEWOOD,DR,6700,,BRIDGE,ST,,FALSE,,10/19/2018 13:07,FALSE,FALSE,"(32.76337, -97.21754)"
18-93628,NE,LOOP 820,,5200,,MARK IV,PKWY,,TRUE,,10/19/2018 12:43,FALSE,FALSE,"(32.8384, -97.32102)"
180093666,,NORTHWEST LOOP 820 EB,FWY,4800,N,MAIN,ST,,FALSE,,10/19/2018 14:21,FALSE,FALSE,"(0, 0)"
18-93694,,CAMERON,ST,5500,S,ADAMS,ST,,FALSE,,10/19/2018 16:40,FALSE,FALSE,"(32.66605, -97.33527)"
18-89764,,BRIDGE,ST,0,,BLUE LAKE,DR,,TRUE,,10/5/2018 23:44,FALSE,TRUE,"(32.75983, -97.2502)"
18-95167,,RIDGLEA,AVE,6400,,LOCKE,AVE,,TRUE,,10/24/2018 16:45,FALSE,TRUE,"(32.73304, -97.42412)"
18-95203,N,BEACH,ST,4000,,RACE,ST,,FALSE,,10/24/2018 17:50,FALSE,TRUE,"(32.73821, -97.28962)"
18-95175,,EAST LOOP 820 SOUTH FWY SB,,189,,MEADOWBROOK EAST LOOP 820 SB R,,STATE LOOP,FALSE,ON RAMP,10/24/2018 16:57,FALSE,FALSE,"(32.74277, -93.50795)"
180095202,,NORTH SOUTH,FWY,1200,,SPUR 280,,I-35 SB,FALSE,SPUR 280 OVERPASS,10/24/2018 17:39,FALSE,FALSE,"(32.75724, -97.31909)"
18-93716,,SOUTHWEST LOOP 820,FWY,5300,,MC CART,AVE,,FALSE,,10/19/2018 17:20,FALSE,FALSE,"(32.66804, -97.35402)"
18-95147,,IH 20,HWY,5700,,TRUELSON,DR,CONCRETE,FALSE,,10/24/2018 14:00,FALSE,TRUE,"(0, 0)"
18-93715,E,SEMINARY,,4400,,ARROWWOOD,DR,,FALSE,,10/19/2018 17:49,FALSE,FALSE,"(32.68447, -97.31008)"
18-95210,,INTERNATIONAL,PKWY,15000,,STATE HIGHWAY 183,HWY,STATE HIGHWAY,FALSE,STATE HIGHWAY,10/24/2018 17:35,FALSE,FALSE,"(32.84472, -97.4031)"
18-93602,,NORTH SOUTH,FWY,1200,E,12,ST,,FALSE,,10/19/2018 11:40,FALSE,TRUE,"(32.75345, -97.31981)"
18-95172,,CALHOUN,ST,300,E,4TH,ST,,FALSE,,10/24/2018 16:44,FALSE,FALSE,"(32.73893, -97.32347)"
18-90067,,THROCKMORTON,ST,0,W,6 TH,ST,,TRUE,,10/7/2018 2:57,FALSE,TRUE,"(32.75221, -97.3317)"
18-93669,E,4TH,ST,200,S,JUDKINS,ST,CONCRETE,TRUE,,10/19/2018 15:34,FALSE,FALSE,"(32.76328, -97.30468)"
180093618,W,BEACH,ST,3800,,MAURICE,AVE,,FALSE,,10/19/2018 12:20,FALSE,TRUE,"(32.73488, -97.28964)"
180093641,,EDERVILLE,RD,1700,,EASTCHASE,PKWY,,FALSE,,10/19/2018 13:22,FALSE,FALSE,"(32.75637, -97.17246)"
18-93621,N,FRWY,FWY,3000,,WESTERN CENTER,BLVD,,FALSE,,10/19/2018 12:22,FALSE,FALSE,"(0, 0)"
18-95544,,CLIFFORD,ST,325,,CLIFFORD CENTER,DR,,TRUE,,10/25/2018 18:34,FALSE,FALSE,"(32.76468, -97.4802)"
180095499,,MACEO,LN,2000,,FLEMMING,AVE,,TRUE,,10/25/2018 16:03,FALSE,FALSE,"(32.72573, -97.22938)"
18-93645,E,820,LOOP,6100,,GREENLEE,ST,,FALSE,,10/19/2018 13:55,FALSE,FALSE,"(0, 0)"
180095503,W,ROSEDALE,ST,1000,,FOREST PARK,BLVD,,FALSE,,10/25/2018 16:12,FALSE,FALSE,"(32.7341, -97.35135)"
18-95913,,DILWORTH,CT,4900,,LYNDON,DR,,TRUE,,10/26/2018 21:24,FALSE,FALSE,"(32.70173, -97.44962)"
18-96396,,CALHOUN,ST,300,E,6TH,ST,,TRUE,,10/28/2018 19:10,FALSE,FALSE,"(32.75434, -97.32898)"
18-93650,,HWY 287 & 81,,7600,,NORTH,FWY,,FALSE,,10/19/2018 14:46,FALSE,FALSE,"(32.89027, -97.32199)"
18-89213,N,SYLVANIA,AVE,2500,E,LONG,AVE,,TRUE,,10/4/2018 10:09,FALSE,FALSE,"(32.80978, -97.30836)"
18-88952,,WHITE SETTLEMENT,,9500,,CLIFFORD,ST,,FALSE,,10/3/2018 14:35,FALSE,FALSE,"(32.76229, -97.48458)"
18-89247,,WEST,FWY,2800,,MONTGOMERY,ST,,FALSE,,10/4/2018 12:38,FALSE,FALSE,"(32.73296, -97.37677)"
18-89226,,CAMP BOWIE WEST,BLVD,3300,,MARQUITA,DR,,FALSE,,10/3/2018 12:00,FALSE,TRUE,"(32.7222, -97.44296)"
18-95519,,NORTH SOUTH,FWY,1000,,EAST,FWY,I-35 W NORTH BOUND,FALSE,I-30 OVERPASS,10/25/2018 16:45,FALSE,FALSE,"(32.74659, -97.31962)"
18-95909,,MILLER,AVE,4100,,WILBARGER,ST,,TRUE,,10/26/2018 21:23,FALSE,FALSE,"(32.701, -97.26295)"
18-95617,,IH 20 EB IH 35W NB,RAMP,800,,SOUTHWAY,CIR,ON RAMP TO I35 FROM IH 20 EB,FALSE,LOCAL ROAD,10/25/2018 23:34,FALSE,FALSE,"(32.66763, -97.31956)"
18-95602,,SANDY,LN,7300,,WINTERS,ST,,TRUE,,10/25/2018 21:50,FALSE,FALSE,"(32.7795, -97.19554)"
18-95591,,EAST LOOP 820 NORTH,,6800,,RANDOL MILL,RD,,FALSE,,10/25/2018 21:12,FALSE,FALSE,"(32.77934, -97.21251)"
180095618,,NORTH SOUTH,FWY,700,S,US HWY 287,,,FALSE,,10/25/2018 23:43,FALSE,FALSE,"(32.75543, -97.31951)"
18-96187,,MARTIN LUTHER KING,FWY,3500,,BISHOP,ST,MARTIN LUTHER KING FWY SR SB,TRUE,LOCAL STREET,10/28/2018 0:05,FALSE,FALSE,"(32.7116, -97.27704)"
180095761,,HIGHWAY 199 ACCESS,RD,3600,,BOAT CLUB,RD,,TRUE,,10/26/2018 14:36,FALSE,FALSE,"(32.80625, -97.42459)"
180089731,N,BEACH,ST,3700,,NORTHERN CROSS,BLVD,,FALSE,,10/5/2018 22:28,FALSE,TRUE,"(32.83321, -97.29053)"
18-95548,,GOLDEN TRIANGLE,BLVD,11000,,RAY WHITE,RD,PUBLIC ROAD,TRUE,PUBLIC ROAD,10/25/2018 17:54,FALSE,FALSE,"(32.9324, -97.2701)"
18-94436,W,ROSEDALE,ST,1100,S,JENNINGS,AVE,,TRUE,,10/22/2018 10:40,FALSE,FALSE,"(32.73313, -97.32976)"
18-94680,,RANSOM TER,,5800,E,ROSEDALE,ST,,TRUE,,10/23/2018 7:05,FALSE,FALSE,"(32.72861, -97.23012)"
18-94697,,VILLAGE CREEK,RD,4900,,HWY 287,HWY,PUBLIC STREET,TRUE,IH 287,10/23/2018 8:30,FALSE,FALSE,"(32.69508, -97.25025)"
18-94671,,BEACH,ST,4000,,LAWNWOOD,ST,,FALSE,,10/23/2018 3:48,FALSE,FALSE,"(32.73901, -97.2896)"
18-96353,,EAST LOOP 820,FWY,7800,,TRINITY,BLVD,,FALSE,,10/28/2018 16:10,FALSE,FALSE,"(0, 0)"
180092434,NE,23RD,ST,2300,N,MAIN,ST,WET ASPHALT,TRUE,WET ASPHALT,10/15/2018 14:17,FALSE,TRUE,"(32.78625, -97.34982)"
18-94701,,BLUE MOUND,RD,2400,,PETTY,PL,,TRUE,,10/23/2018 8:35,FALSE,FALSE,"(33.3951, -97.30614)"
18-94704,E,ROSEDALE,ST,1266,,HAYNES,AVE,,TRUE,,10/23/2018 8:57,FALSE,FALSE,"(32.73129, -97.26864)"
18-95551,,BEACH,ST,0,,SHIVER,RD,,TRUE,,10/25/2018 17:40,FALSE,FALSE,"(32.90392, -97.28965)"
18-95559,N,RIVERSIDE,DR,3500,,THOMPSON,RD,LOCAL STREET,FALSE,LOCAL STREET,10/25/2018 18:53,FALSE,FALSE,"(0, 0)"
18-96263,,FM 1220,RD,2600,,GRAYSON,AVE,,FALSE,,10/28/2018 9:20,FALSE,FALSE,"(32.79435, -97.37388)"
18-89063,NW,21ST,ST,2100,,LOVING,AVE,,FALSE,,10/3/2018 19:53,FALSE,FALSE,"(32.78288, -97.36555)"
180095274,,NORTH,FWY,2500,,MEACHAM,BLVD,SERVICE ROAD,TRUE,LOCAL ROADWAY,10/24/2018 22:30,FALSE,FALSE,"(32.82587, -97.31271)"
180096410,N,MAIN,ST,100,NE,28TH,ST,,TRUE,,10/28/2018 19:30,FALSE,FALSE,"(32.79437, -97.34912)"
180091829,,MC CART,AVE,2600,,W IH 20,FWY,,FALSE,,10/12/2018 23:50,FALSE,TRUE,"(0, 0)"
18-91816,,EVERMAN,PKWY,0,,,,LOCAL RAOD,FALSE,,10/13/2018 22:39,FALSE,FALSE,"(32.62756, -97.31705)"
18-94860,,WEST FWY WB,,2500,,UNIVERSITY,DR,,TRUE,,10/23/2018 17:45,FALSE,TRUE,"(32.73392, -97.36095)"
18-95555,,TRINITY,BLVD,2900,,PRECINT LINE,RD,,FALSE,,10/25/2018 17:30,FALSE,FALSE,"(0, 0)"
18-95878,,IH 35W SB RENDON CROWLEY,RAMP,100,W,RENDON CROWLEY,RD,ASPHALT,FALSE,ASPHALT,10/27/2018 19:35,FALSE,FALSE,"(0, 0)"
18-92903,,IH 20 EB HULEN,FWY,4500,S,HULEN,ST,,FALSE,,10/18/2018 23:52,FALSE,FALSE,"(0, 0)"
18-95518,W,LANCASTER,AVE,1200,,MONROE,ST,LOCAL ROAD,FALSE,LOCAL ROAD,10/25/2018 16:43,FALSE,FALSE,"(32.74631, -97.3227)"
180093684,,MEACHAM,BLVD,4600,,MARK IV,PKWY,,TRUE,,10/19/2018 16:04,FALSE,TRUE,"(32.82454, -97.3234)"
18-93753,E,LONG,AVE,3400,,OSCAR,AVE,,TRUE,,10/19/2018 19:38,FALSE,TRUE,"(32.80582, -97.33124)"
18-88846,SE,LOOP 820,FWY,5479,,SOUTH,FWY,,FALSE,SERVICE RAMP TO NB I-35,10/3/2018 8:15,FALSE,TRUE,"(32.66927, -97.31837)"
18-93378,,SOUTH,FWY,800,E,BALTIMORE,AVE,INTERSTATE,FALSE,LOCAL,10/18/2018 16:01,FALSE,FALSE,"(32.72362, -97.32063)"
180094709,,WOODWAY,DR,3900,,ALTAMESA,BLVD,,FALSE,,10/23/2018 9:14,FALSE,FALSE,"(32.64993, -97.37695)"
180094051,,LOVING,AVE,1500,NW,26TH,ST,,FALSE,,10/21/2018 21:37,FALSE,FALSE,"(32.7927, -97.36603)"
18-95742,,TEX,BLVD,6600,,CURZON,AVE,,FALSE,,10/26/2018 1:30,FALSE,TRUE,"(32.72841, -97.43042)"
18-93365,,NORTHEAST LOOP 820 SR EB,FWY,5300,,BLUE MOUND RD,,,FALSE,,10/18/2018 15:36,FALSE,FALSE,"(32.84237, -97.34265)"
180093688,,NORTHWEST LOOP 820 FWY W,,4600,,MARINE CREEK,PKWY,,FALSE,,10/19/2018 16:13,FALSE,FALSE,"(32.82023, -97.39929)"
18-95671,,OAKLAND,BLVD,4100,,BENMAR,ST,,TRUE,,10/26/2018 7:56,FALSE,FALSE,"(32.75515, -97.2617)"
18-94988,,SOUTH,FWY,600,,VICKERY,BLVD,SOUTH FWY NB,FALSE,LOCAL ROAD,10/24/2018 6:31,FALSE,FALSE,"(32.74092, -97.32031)"
18-95520,,MARK IV,,2700,,CANTRELL SANSOM,RD,,TRUE,,10/25/2018 17:02,FALSE,FALSE,"(32.8441, -97.32118)"
180093665,,MC CART,AVE,2600,,SOUTHWEST LOOP 820,FWY,,FALSE,,10/19/2018 14:59,FALSE,FALSE,"(32.66684, -97.35594)"
18-95515,S,HULEN,ST,4600,,ALTA MESA,BLVD,PAVED ROADWAY,FALSE,PAVED ROADWAY,10/25/2018 16:00,FALSE,TRUE,"(0, 0)"
18-94853,E,NORTHSIDE,DR,2300,,COLD SPRINGS,AVE,,FALSE,,10/23/2018 17:24,FALSE,FALSE,"(32.78451, -97.32449)"
18-93345,,HEMPHILL,ST,700,W,ROSEDALE,ST,LOCAL ROAD,FALSE,LOCAL ROAD,10/18/2018 14:23,FALSE,FALSE,"(32.73376, -97.33158)"
18-95328,,NORTH SOUTH,FWY,1000,,LUELLA,ST,,FALSE,,10/25/2018 7:05,FALSE,FALSE,"(32.75153, -97.31985)"
18-94855,,HWY 199 ACCESS,RD,3600,,NORTHWEST CENTRE,DR,,TRUE,,10/23/2018 17:09,FALSE,FALSE,"(0, 0)"
18-94784,,NORTH,FWY,2000,,PHARR,ST,,FALSE,,10/23/2018 13:30,FALSE,TRUE,"(32.76616, -97.31866)"
18-94868,E,BERRY,ST,3000,,SOUTH FWY SR SB,,,FALSE,,10/23/2018 18:15,FALSE,FALSE,"(32.70585, -97.33099)"
180093661,E,BERRY,ST,3300,,MORIAH,WAY,,FALSE,,10/19/2018 11:30,FALSE,TRUE,"(32.70607, -97.35607)"
18-93673,,EAST LOOP 820,,6248,,MEADOWBROOK,DR,,FALSE,,10/19/2018 15:35,FALSE,TRUE,"(32.74666, -97.22236)"
18-93662,,SYCAMORE SCHOOL,RD,0,,SHERIDAN,RD,,FALSE,,10/19/2018 14:59,FALSE,TRUE,"(32.63519, -97.32331)"
18-94866,,LANCASTER WB US 287 NB,RAMP,1600,E,LANCASTER,AVE,,FALSE,,10/23/2018 18:00,FALSE,FALSE,"(32.74633, -97.30595)"
18-94748,,NORTHEAST LOOP 820,FWY,5200,,MARK IV,PKWY,,FALSE,,10/23/2018 11:40,FALSE,FALSE,"(32.83964, -97.32679)"
180093822,,COLLIN,ST,4500,,FOARD,ST,,FALSE,,10/19/2018 23:00,FALSE,FALSE,"(32.69787, -97.279)"
18-93979,,IH 30,FWY,2800,,MERRICK,ST,,TRUE,,10/20/2018 16:40,FALSE,FALSE,"(32.73253, -97.3987)"
18-94883,S,UNIVERSITY,DR,2700,W,VICKERY,BLVD,,TRUE,,10/23/2018 18:41,FALSE,FALSE,"(32.73301, -97.36146)"
18-93680,S,HENDERSON,ST,1200,W,PETERSMITH,TRL,LOCAL,TRUE,LOCAL,10/19/2018 16:02,FALSE,FALSE,"(32.73955, -97.33779)"
180095797,NW,820,LOOP,4600,,OLD DECATUR,RD,,FALSE,,10/26/2018 16:03,FALSE,FALSE,"(0, 0)"
18-94859,,WEST,FWY,3000,,IH 30 WB UNIVERSITY,RAMP,,TRUE,,10/23/2018 17:34,FALSE,FALSE,"(32.73381, -97.36133)"
18-94886,NW,LOOP 820,LOOP,4750,,MARINE CREEK,PKWY,PAVED CONCRETE,TRUE,PAVED CONCRETE,10/23/2018 18:20,FALSE,FALSE,"(32.82681, -97.38524)"
180093649,,EAST,FWY,1300,,EASTCHASE,PKWY,INTERSTATE HIGHWAY,FALSE,LOCAL ROAD,10/19/2018 14:26,FALSE,TRUE,"(32.75997, -97.1746)"
180095502,W,SEMINARY,RD,4300,,HEMPHILL,ST,,FALSE,,10/25/2018 16:21,FALSE,FALSE,"(32.68462, -97.33171)"
180095434,,CENTREPORT,DR,14200,N,FAA,BLVD,,FALSE,,10/25/2018 12:56,FALSE,FALSE,"(0, 0)"
18-947743,N,FREEWAY,,3000,,WESTERN CENTER,BLVD,,FALSE,,10/23/2018 12:55,FALSE,FALSE,"(0, 0)"
18-94813,,RUNNING RIVER,,1400,,PEPPERRIDGE,RD,LOCAL ROAD,TRUE,LOCAL ROAD,10/23/2018 15:15,FALSE,FALSE,"(32.8855, -97.3378)"
18-95498,,HEMPHILL,ST,600,E,SEMINARY,,LOCAL ROAD,TRUE,LOCAL ROAD,10/25/2018 15:48,FALSE,FALSE,"(32.68446, -97.33176)"
18-89313,,SUMMER CREEK,DR,5300,,COLUMBUS,TRL,,TRUE,,10/4/2018 16:10,FALSE,FALSE,"(32.62788, -97.4068)"
18-89340,,HEMPHILL,ST,900,,ALTAMESA,BLVD,,FALSE,,10/4/2018 17:20,FALSE,FALSE,"(32.6492, -97.33521)"
18-89077,S,HENDERSON,ST,200,,HENDERSON IH 30 EB,RAMP,,TRUE,,10/3/2018 20:48,FALSE,FALSE,"(32.75583, -97.34004)"
18-89384,,FOCH,ST,2800,,CROCKETT,ST,ROADWAY,FALSE,,10/4/2018 20:18,FALSE,FALSE,"(32.74968, -97.35657)"
18-89399,,PECOS,ST,4950,,OLLIE,ST,PAVED,FALSE,PAVED,10/4/2018 18:20,FALSE,FALSE,"(32.68776, -97.2798)"
18-88995,,NASHVILLE,AVE,2800,,AVE A,,,TRUE,,10/3/2018 15:40,FALSE,FALSE,"(32.73561, -97.2868)"
18-88927,E,EAST LOOP 820,LOOP,6100,,CRAIG,ST,,FALSE,,10/3/2018 12:50,FALSE,TRUE,"(0, 0)"
18-88968,,NORTH,FWY,1800,E,NORTHSIDE,DR,,FALSE,,10/3/2018 15:00,FALSE,TRUE,"(32.78704, -97.32084)"
18-88784,,VILLAGE CREEK,RD,5000,,FITZHUGH,AVE,,FALSE,,10/3/2018 21:56,FALSE,TRUE,"(32.71705, -97.24844)"
18-88980,,SOVEREIGN,RD,4800,,AMON CARTER,,,FALSE,,10/3/2018 13:14,FALSE,FALSE,"(0, 0)"
18-88982,,EAST FWY EB,,1300,,OAKLAND,BLVD,PAVED,FALSE,PAVED,10/3/2018 15:28,FALSE,FALSE,"(0, 0)"
18-89096,,IH 35W SB IH 30 WB,RAMP,100,,IH 35W SB IH 30 WB,RAMP,,FALSE,,10/3/2018 20:30,FALSE,TRUE,"(32.75127, -97.32038)"
18-89045,,US HWY 183 WB,HWY,4900,,AMERICAN,BLVD,,FALSE,,10/3/2018 19:00,FALSE,FALSE,"(0, 0)"
18-89059,,MT VERNON,AVE,2700,,LEWIS,AVE,,FALSE,,10/3/2018 19:20,FALSE,FALSE,"(0, 0)"
18-89316,,NELL,ST,4301,,OAK HILL,ST,,FALSE,,10/4/2018 16:08,FALSE,FALSE,"(32.68196, -97.26101)"
18-89762,E,VICKERY,BLVD,901,,BISHOP,ST,PUBLIC RDWY,TRUE,PUBLIC RDWY,10/6/2018 0:50,FALSE,FALSE,"(32.73551, -97.278)"
18-89663,SW,LOOP 820,,4900,,TRAIL LAKE,DR,,FALSE,,10/5/2018 18:52,FALSE,FALSE,"(32.67124, -97.36861)"
18-89651,,MILLER,AVE,4200,,CHICKASAW,AVE,,TRUE,,10/5/2018 16:29,FALSE,TRUE,"(32.69809, -97.26294)"
18-89072,W,SEMINARY,DR,4300,,,,,FALSE,,10/3/2018 20:14,FALSE,FALSE,"(32.68444, -97.32207)"
180094806,,BRENTWOOD STAIR,RD,1400,,WILSON,RD,,TRUE,,10/23/2018 15:10,FALSE,FALSE,"(32.76004, -97.23994)"
